club,nation,coach,formation,mvp,position,season
Barcelona FC,Spain,Josep Guardiola,'4-3-3',Lionel Messi,winner,'2010/2011'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',unknown,runner up,'2010/2011'
Chelsea FC,England,Roberto Di Matteo,'4-4-2',Didier Drogba,winner,'2011/2012'
FC Bayern Munchen,Germany,Jupp Heynckes,'4-2-3-1',unknown,runner up,'2011/2012'
FC Bayern Munchen,Germany,Jupp Heynckes,'4-4-2',Arjen Robben,winner,'2012/2013'
Borussia Dortmund,Germany,Jürgen Klopp,'4-5-1',unknown,runner up,'2012/2013'
Real Madrid CF,Spain,Carlo Ancelotti,'4-3-3',Ángel di María,winner,'2013/2014'
Club Atlético de madrid,Spain,Diego Simeone,'4-4-2',unknown,runner up,'2013/2014'
Barcelona FC,Spain,Luis Enrique,'4-3-3',Andrés Iniesta,winner,'2014/2015'
Juventus,Italy,Massimiliano Allegri,'4-4-2',unknown,runner up,'2014/2015'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Sergio Ramos,winner,'2015/2016'
Club Atlético de madrid,Spain,Diego Simeone,'4-4-2',unknown,runner up,'2015/2016'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Cristiano Ronaldo,winner,'2016/2017'
Juventus,Italy,Massimiliano Allegri,'3-4-3',unknown,runner up,'2016/2017'
Real Madrid CF,Spain,Zinédine Zidane,'4-3-3',Gareth Bale,winner,'2017/2018'
Liverpool FC,England,Jürgen Klopp,'4-3-3',unknown,runner up,'2017/2018'
Liverpool FC,England,Jürgen Klopp,'4-3-3',Virgil van Dijk,winner,'2018/2019'
Tottenham Hotspur,England,Jürgen Klopp,'4-4-2',unknown,runner up,'2018/2019'
